<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AMEZ,60,20200515,120000,3.9950000,4.0200000,3.9800000,4.0150000,88800
AMEZ,60,20200515,130000,4.0150000,4.0800000,4.0150000,4.0800000,85800
AMEZ,60,20200515,140000,4.0600000,4.0750000,4.0250000,4.0300000,13400
AMEZ,60,20200515,150000,4.0350000,4.0500000,4.0150000,4.0500000,80000
AMEZ,60,20200515,160000,4.0200000,4.0500000,4.0000000,4.0250000,41700
AMEZ,60,20200515,170000,4.0400000,4.0400000,3.9850000,4.0150000,9000
AMEZ,60,20200515,180000,4.0150000,4.0300000,4.0100000,4.0250000,1400
AMEZ,60,20200518,100000,4.0450000,4.0800000,4.0100000,4.0450000,16100
AMEZ,60,20200518,110000,4.0600000,4.0600000,4.0100000,4.0250000,78200
AMEZ,60,20200518,120000,4.0200000,4.0250000,4.0200000,4.0200000,2900
AMEZ,60,20200518,130000,4.0200000,4.0250000,3.9750000,3.9750000,58200
AMEZ,60,20200518,140000,3.9850000,4.0150000,3.9850000,4.0150000,9000
AMEZ,60,20200518,150000,4.0100000,4.0600000,4.0100000,4.0300000,157700
AMEZ,60,20200518,160000,4.0250000,4.0650000,4.0250000,4.0400000,116700
AMEZ,60,20200518,170000,4.0500000,4.0650000,4.0250000,4.0500000,175800
AMEZ,60,20200518,180000,4.0500000,4.0800000,4.0250000,4.0600000,119600
AMEZ,60,20200519,100000,4.0950000,4.0950000,4.0500000,4.0850000,65200
AMEZ,60,20200519,110000,4.0600000,4.0800000,4.0550000,4.0550000,7500
AMEZ,60,20200519,120000,4.0650000,4.0700000,4.0500000,4.0700000,12900
AMEZ,60,20200519,130000,4.0700000,4.0700000,4.0200000,4.0550000,90300
AMEZ,60,20200519,140000,4.0650000,4.0750000,4.0550000,4.0550000,37300
AMEZ,60,20200519,150000,4.0750000,4.1000000,4.0550000,4.1000000,164000
AMEZ,60,20200519,160000,4.1000000,4.1300000,4.0900000,4.0950000,40400
AMEZ,60,20200519,170000,4.1100000,4.1800000,4.0850000,4.1300000,483500
AMEZ,60,20200519,180000,4.1550000,4.1800000,4.1150000,4.1250000,33100
AMEZ,60,20200520,100000,4.0950000,4.1600000,4.0700000,4.1250000,177500
AMEZ,60,20200520,110000,4.1050000,4.1450000,4.1050000,4.1100000,30400
AMEZ,60,20200520,120000,4.1100000,4.1550000,4.1100000,4.1200000,61900
AMEZ,60,20200520,130000,4.1200000,4.1450000,4.1200000,4.1250000,7200
AMEZ,60,20200520,140000,4.1400000,4.2100000,4.1300000,4.1700000,458700
AMEZ,60,20200520,150000,4.1700000,4.2050000,4.1500000,4.1850000,87900
AMEZ,60,20200520,160000,4.2050000,4.2250000,4.1950000,4.2250000,100200
AMEZ,60,20200520,170000,4.2250000,4.2800000,4.2200000,4.2350000,349400
AMEZ,60,20200520,180000,4.2250000,4.2650000,4.2000000,4.2300000,26700
AMEZ,60,20200521,100000,4.2450000,4.2800000,4.1550000,4.1750000,114200
AMEZ,60,20200521,110000,4.1750000,4.1950000,4.1300000,4.1900000,45000
AMEZ,60,20200521,120000,4.1850000,4.1950000,4.1550000,4.1750000,14600
AMEZ,60,20200521,130000,4.1750000,4.1900000,4.1650000,4.1700000,9500
AMEZ,60,20200521,140000,4.1700000,4.1750000,4.1500000,4.1600000,33900
AMEZ,60,20200521,150000,4.1550000,4.1600000,4.1200000,4.1350000,27100
AMEZ,60,20200521,160000,4.1350000,4.2150000,4.1150000,4.1850000,53300
AMEZ,60,20200521,170000,4.1850000,4.1850000,4.1500000,4.1750000,11400
AMEZ,60,20200521,180000,4.1750000,4.1750000,4.1250000,4.1250000,13100
AMEZ,60,20200522,100000,4.1600000,4.1700000,4.0750000,4.0750000,241000
AMEZ,60,20200522,110000,4.0850000,4.1100000,4.0750000,4.1000000,12800
AMEZ,60,20200522,120000,4.1050000,4.1100000,4.0850000,4.1100000,7700
AMEZ,60,20200522,130000,4.1100000,4.1100000,4.0950000,4.0950000,11100
AMEZ,60,20200522,140000,4.1050000,4.1100000,4.0900000,4.0900000,23200
AMEZ,60,20200522,150000,4.1050000,4.1100000,4.0900000,4.0900000,14300
AMEZ,60,20200522,160000,4.0850000,4.1500000,4.0800000,4.1500000,42300
AMEZ,60,20200522,170000,4.1400000,4.1400000,4.0900000,4.1250000,15500
AMEZ,60,20200522,180000,4.0900000,4.1200000,4.0750000,4.1200000,5600
